,open,high,low,close,volume
2015-04-16,7681.0,7790.0,7480.2,7707.8,116888.0
2015-04-17,7722.0,7918.8,7631.2,7758.2,114214.0
2015-04-20,7760.0,7857.0,7582.0,7622.2,98781.0
2015-04-21,7650.2,8147.0,7640.2,8140.4,132545.0
2015-04-22,8158.0,8237.8,8104.4,8189.8,121034.0
2015-04-23,8193.0,8378.8,8160.4,8265.6,132278.0
2015-04-24,8247.8,8349.8,8123.8,8327.2,126381.0
2015-04-27,8368.0,8548.0,8292.0,8347.2,125335.0
2015-04-28,8308.0,8419.0,8011.6,8147.0,164120.0
2015-04-29,8138.0,8309.0,8079.0,8302.2,134158.0
2015-04-30,8320.0,8408.0,8291.2,8338.8,120118.0
2015-05-04,8370.2,8527.4,8202.4,8347.2,101734.0
2015-05-05,8334.8,8345.0,8090.0,8145.0,109987.0
2015-05-06,8168.0,8280.6,7970.0,8040.8,111973.0
2015-05-07,8020.0,8068.0,7901.0,7911.4,109599.0
2015-05-08,7933.4,8171.4,7921.0,8171.2,121062.0
2015-05-11,8170.0,8508.0,8144.0,8489.8,124722.0
2015-05-12,8499.6,8648.0,8415.4,8647.8,152019.0
2015-05-13,8595.0,8779.0,8492.0,8695.8,189658.0
2015-05-14,8530.0,8680.0,8477.6,8603.0,133372.0
2015-05-15,8610.0,8718.0,8482.0,8579.8,182662.0
2015-05-18,8640.6,8822.2,8580.0,8798.4,202968.0
2015-05-19,8805.6,9154.4,8736.2,9120.8,228488.0
2015-05-20,9121.8,9463.6,9111.2,9286.8,239847.0
2015-05-21,9311.4,9755.0,9301.0,9734.6,256460.0
2015-05-22,9783.0,9867.4,9525.0,9741.2,285617.0
2015-05-25,9610.0,10020.8,9455.4,9966.6,262755.0
2015-05-26,9988.0,10535.0,9986.2,10532.2,258963.0
2015-05-27,10598.4,10718.0,10366.0,10552.0,307346.0
2015-05-28,10580.0,10758.8,9818.0,9977.2,360766.0
2015-05-29,10126.8,10370.0,9901.0,10121.0,354628.0
2015-06-01,10170.2,11089.8,10168.0,11025.6,257035.0
2015-06-02,11058.0,11385.0,10830.0,11250.4,280807.0
2015-06-03,11281.2,11436.0,10809.0,11103.2,334871.0
2015-06-04,11127.0,11255.4,10030.0,10869.2,376160.0
2015-06-05,10900.0,11258.0,10540.0,10949.0,337852.0
2015-06-08,10840.0,10939.2,10384.2,10602.6,305756.0
2015-06-09,10599.0,10950.0,10453.0,10700.4,322063.0
2015-06-10,10608.0,11326.0,10600.0,10987.8,312337.0
2015-06-11,11094.8,11290.0,10920.2,11258.8,267772.0
2015-06-12,11293.0,11585.0,11221.8,11427.8,253743.0
2015-06-15,11461.4,11560.0,11023.0,11228.6,237446.0
2015-06-16,11238.0,11238.0,10656.2,10839.0,296168.0
2015-06-17,10837.6,11117.6,10504.4,11033.4,255006.0
2015-06-18,10998.0,11186.8,10564.4,10585.0,234442.0
2015-06-19,10535.0,10609.6,9950.0,9990.0,385745.0
2015-06-23,9977.0,10100.0,9375.2,9862.6,363010.0
2015-06-24,9888.0,10214.4,9710.8,10058.0,336011.0
2015-06-25,10101.0,10140.0,9335.0,9381.6,355666.0
2015-06-26,9380.0,9390.0,8629.0,8629.0,296036.0
2015-06-29,8788.0,8800.0,7768.4,7768.4,370110.0
2015-06-30,7768.0,8629.0,7557.0,8346.0,417585.0
2015-07-01,8396.0,8800.0,7509.4,7509.4,418824.0
2015-07-02,7910.0,8277.0,7323.8,7667.8,502523.0
2015-07-03,7718.0,7936.4,7072.4,7404.8,407628.0
2015-07-06,8167.2,8167.2,6701.6,7440.0,345855.0
2015-07-07,7303.6,7438.0,6516.2,6516.2,126905.0
2015-07-08,6202.0,7280.2,5956.6,5956.6,37070.0
2015-07-09,5956.6,6552.2,5900.0,6552.2,17083.0
2015-07-10,6894.0,7207.4,6888.0,7207.4,11110.0
2015-07-13,7500.0,7928.0,7307.4,7569.6,95522.0
2015-07-14,7749.0,7970.0,7532.0,7645.0,116607.0
2015-07-15,7613.6,7655.8,7002.0,7136.0,92798.0
2015-07-16,6800.0,7444.0,6418.8,7226.6,118069.0
2015-07-17,7224.8,7857.6,7224.8,7857.6,134674.0
2015-07-20,7920.0,8087.8,7413.2,7589.0,189519.0
2015-07-21,7587.8,7935.2,7402.2,7715.0,185925.0
2015-07-22,7715.0,7918.0,7572.2,7773.0,151210.0
2015-07-23,7802.2,8498.6,7702.2,8386.0,172241.0
2015-07-24,8414.2,8538.0,7912.4,7980.0,185487.0
2015-07-27,7978.8,8180.0,7341.4,7341.4,153759.0
2015-07-28,7198.0,7528.8,7034.0,7221.0,168856.0
2015-07-29,7300.6,7715.8,6955.2,7702.8,179005.0
2015-07-30,7700.0,7731.0,7146.0,7232.0,190390.0
2015-07-31,7275.0,7642.2,7210.0,7399.0,149888.0
2015-08-03,7335.0,7351.0,6990.0,7065.2,98428.0
2015-08-04,7088.8,7708.6,7069.2,7657.6,131506.0
2015-08-05,7677.0,7737.2,7460.0,7486.4,118095.0
2015-08-06,7415.0,7727.8,7361.0,7545.4,122864.0
2015-08-07,7600.0,7966.0,7583.8,7851.2,131512.0
2015-08-10,7855.0,8440.0,7855.0,8330.0,108046.0
2015-08-11,8356.8,8396.2,8185.2,8200.6,103813.0
2015-08-12,8202.2,8330.0,8051.0,8082.2,113709.0
2015-08-13,8100.0,8387.0,8052.6,8345.8,112898.0
2015-08-14,8388.0,8527.8,8308.0,8397.0,116621.0
2015-08-17,8406.0,8690.0,8200.0,8659.0,114466.0
2015-08-18,8689.0,8761.6,7770.2,7802.0,136282.0
2015-08-19,7422.0,7787.8,7215.6,7710.6,75301.0
2015-08-20,7720.0,7918.0,7500.2,7557.0,131354.0
2015-08-21,7500.2,7619.0,7060.0,7207.4,173849.0
2015-08-24,6953.0,7044.6,6523.6,6523.6,89052.0
2015-08-25,6249.0,6380.0,5871.4,5871.4,128798.0
2015-08-26,5869.0,6150.0,5301.2,5400.2,169262.0
2015-08-27,5700.0,6079.4,5510.0,5928.2,166242.0
2015-08-28,6101.2,6402.6,5884.0,6402.6,129943.0
2015-08-31,6387.0,6388.0,5852.0,5961.4,85814.0
2015-09-01,5960.0,6195.6,5363.2,5373.0,109123.0
2015-09-02,5277.4,5975.0,5101.8,5377.0,158776.0
2015-09-07,5650.0,5921.8,5550.0,5795.0,11697.0
2015-09-08,5806.2,6383.0,5752.6,6383.0,10836.0
2015-09-09,6428.0,6578.0,6300.0,6369.0,9181.0
2015-09-10,6318.0,6463.8,6234.2,6319.0,6395.0
2015-09-11,6330.8,6489.0,6296.2,6420.0,6184.0
2015-09-14,6498.0,6500.0,5758.2,5758.2,8153.0
2015-09-15,5749.6,5898.6,5590.2,5663.6,6917.0
2015-09-16,5710.4,6200.0,5620.0,6050.8,7708.0
2015-09-17,6100.0,6218.2,5855.0,5955.0,4130.0
2015-09-18,5768.8,5898.6,5658.0,5830.0,8649.0
2015-09-21,5750.0,6184.2,5715.0,6170.2,10042.0
2015-09-22,6168.8,6190.0,6005.0,6077.8,9276.0
2015-09-23,6080.8,6093.2,5903.0,5980.4,9051.0
2015-09-24,6000.0,6146.8,5978.0,6100.0,8986.0
2015-09-25,6098.8,6115.0,5713.0,5787.4,10687.0
2015-09-28,5848.0,6036.6,5770.0,5994.4,9431.0
2015-09-29,5950.0,5950.0,5788.2,5914.0,8872.0
2015-09-30,5955.0,5993.0,5852.0,5917.8,7381.0
2015-10-08,6220.0,6350.0,6191.8,6195.2,7856.0
2015-10-09,6230.0,6444.6,6208.8,6406.8,7489.0
2015-10-12,6458.2,6790.0,6458.2,6642.6,8516.0
2015-10-13,6613.0,6737.6,6586.4,6688.6,6576.0
2015-10-14,6645.0,6743.4,6625.6,6645.2,6975.0
2015-10-15,6655.8,6957.0,6655.2,6954.8,5867.0
2015-10-16,6825.0,6865.0,6641.2,6779.0,7352.0
2015-10-19,6797.8,6818.0,6530.0,6685.0,8686.0
2015-10-20,6685.0,6850.0,6645.6,6850.0,8843.0
2015-10-21,6814.0,6844.0,6451.0,6478.8,10707.0
2015-10-22,6520.2,6735.0,6483.0,6666.2,10515.0
2015-10-23,6706.2,6920.0,6671.0,6908.0,9940.0
2015-10-26,6944.0,6949.8,6750.0,6865.0,9359.0
2015-10-27,6824.0,6990.0,6641.2,6903.4,10357.0
2015-10-28,6910.0,6927.0,6666.8,6683.4,9763.0
2015-10-29,6712.2,6886.6,6655.0,6782.0,9744.0
2015-10-30,6801.0,6887.0,6651.0,6783.8,10368.0
2015-11-02,6641.0,6868.0,6582.6,6668.8,10294.0
2015-11-03,6696.8,6757.0,6614.8,6656.2,9553.0
2015-11-04,6700.0,7117.6,6678.8,7090.6,11240.0
2015-11-05,7066.8,7119.6,6983.2,7066.4,9820.0
2015-11-06,7068.8,7338.8,7068.0,7293.8,8847.0
2015-11-09,7270.0,7449.8,7205.2,7353.8,8477.0
2015-11-10,7330.0,7439.0,7320.2,7394.0,7301.0
2015-11-11,7388.0,7548.8,7378.0,7545.0,7006.0
2015-11-12,7540.0,7570.0,7391.0,7519.0,7645.0
